# Conditions: NA =  10  NB =  10  Chi =  0.3
# Spinordal_1 =  0.211324865405  Spinordal_2 =  0.788675134595
# Binordal_1 =  0.92927981832 Binordal_2 = 0.07072018168
#
# tangent line: y=ax + b, a=  1.11577413975e-14 , b =  -0.00583413494415
#  1.11577413975e-14  * x +  -0.00583413494415
#
# Free Energy
# Phi 	Free Energy
0.001 	-0.000491025511223
0.002 	-0.000843921486218
0.003 	-0.00114499244642
0.004 	-0.00141258329834
0.005 	-0.00165540659472
0.006 	-0.00187859387501
0.007 	-0.00208553585419
0.008 	-0.00227864242221
0.009 	-0.00245971542651
0.01 	-0.00263015343548
0.011 	-0.00279107370065
0.012 	-0.00294338938098
0.013 	-0.00308786084143
0.014 	-0.00322513107293
0.015 	-0.00335575094111
0.016 	-0.00348019767269
0.017 	-0.00359888870285
0.018 	-0.00371219225359
0.019 	-0.00382043555444
0.02 	-0.00392391132797
0.021 	-0.00402288297526
0.022 	-0.00411758877142
0.023 	-0.004208245297
0.024 	-0.00429505027146
0.025 	-0.00437818491375
0.026 	-0.00445781592457
0.027 	-0.0045340971633
0.028 	-0.00460717107617
0.029 	-0.00467716992017
0.03 	-0.00474421681798
0.031 	-0.00480842667209
0.032 	-0.00486990696088
0.033 	-0.00492875843504
0.034 	-0.00498507572959
0.035 	-0.00503894790379
0.036 	-0.00509045891932
0.037 	-0.00513968806527
0.038 	-0.00518671033721
0.039 	-0.00523159677626
0.04 	-0.00527441477342
0.041 	-0.0053152283434
0.042 	-0.00535409837182
0.043 	-0.00539108283868
0.044 	-0.00542623702126
0.045 	-0.00545961367834
0.046 	-0.0054912632182
0.047 	-0.00552123385193
0.048 	-0.00554957173372
0.049 	-0.00557632108941
0.05 	-0.00560152433459
0.051 	-0.00562522218324
0.052 	-0.00564745374781
0.053 	-0.00566825663167
0.054 	-0.00568766701446
0.055 	-0.00570571973128
0.056 	-0.00572244834596
0.057 	-0.00573788521922
0.058 	-0.00575206157195
0.059 	-0.00576500754419
0.06 	-0.00577675225006
0.061 	-0.0057873238291
0.062 	-0.00579674949415
0.063 	-0.00580505557621
0.064 	-0.00581226756641
0.065 	-0.0058184101554
0.066 	-0.00582350727027
0.067 	-0.00582758210924
0.068 	-0.00583065717432
0.069 	-0.005832754302
0.07 	-0.00583389469217
0.071 	-0.00583409893541
0.072 	-0.00583338703874
0.073 	-0.00583177844988
0.074 	-0.00582929208027
0.075 	-0.00582594632679
0.076 	-0.00582175909235
0.077 	-0.00581674780533
0.078 	-0.00581092943812
0.079 	-0.00580432052461
0.08 	-0.00579693717686
0.081 	-0.00578879510088
0.082 	-0.00577990961169
0.083 	-0.00577029564758
0.084 	-0.00575996778378
0.085 	-0.00574894024534
0.086 	-0.00573722691952
0.087 	-0.0057248413676
0.088 	-0.00571179683603
0.089 	-0.00569810626722
0.09 	-0.00568378230975
0.091 	-0.00566883732818
0.092 	-0.00565328341237
0.093 	-0.00563713238645
0.094 	-0.00562039581738
0.095 	-0.00560308502317
0.096 	-0.00558521108067
0.097 	-0.00556678483318
0.098 	-0.00554781689759
0.099 	-0.00552831767137
0.1 	-0.00550829733914
0.101 	-0.00548776587912
0.102 	-0.00546673306918
