# Conditions: NA =  10  NB =  20  Chi =  0.3
# Spinordal_1 =  0.185666510612  Spinordal_2 =  0.897666822722
# Binordal_1 =  0.993225525988 Binordal_2 = 0.0384811113975
#
# tangent line: y=ax + b, a=  0.00311460950916 , b =  -0.00344187025163
#  0.00311460950916  * x +  -0.00344187025163
#
# Free Energy
# Phi 	Free Energy
0.001 	-0.000441050519561
0.002 	-0.000744021552951
0.003 	-0.000995217671756
0.004 	-0.00121298383274
0.005 	-0.001406032639
0.006 	-0.00157949568043
0.007 	-0.00173676372257
0.008 	-0.00188024670603
0.009 	-0.002011746529
0.01 	-0.00213266181074
0.011 	-0.00224410985373
0.012 	-0.00234700386801
0.013 	-0.0024421042697
0.014 	-0.00253005410102
0.015 	-0.00261140427896
0.016 	-0.00268663208174
0.017 	-0.00275615499611
0.018 	-0.00282034129577
0.019 	-0.00287951826204
0.02 	-0.00293397866941
0.021 	-0.00298398597095
0.022 	-0.0030297784939
0.023 	-0.00307157287101
0.024 	-0.00310956687409
0.025 	-0.00314394177452
0.026 	-0.00317486432554
0.027 	-0.00320248843917
0.028 	-0.00322695661441
0.029 	-0.00324840116113
0.03 	-0.00326694525497
0.031 	-0.00328270385152
0.032 	-0.00329578448233
0.033 	-0.00330628795142
0.034 	-0.00331430894722
0.035 	-0.00331993658251
0.036 	-0.0033232548726
0.037 	-0.00332434316036
0.038 	-0.00332327649519
0.039 	-0.00332012597219
0.04 	-0.00331495903645
0.041 	-0.00330783975687
0.042 	-0.00329882907337
0.043 	-0.00328798502041
0.044 	-0.00327536292977
0.045 	-0.0032610156149
0.046 	-0.00324499353883
0.047 	-0.00322734496755
0.048 	-0.00320811611024
0.049 	-0.00318735124784
0.05 	-0.00316509285118
0.051 	-0.00314138168958
0.052 	-0.00311625693095
0.053 	-0.00308975623422
0.054 	-0.00306191583476
0.055 	-0.00303277062345
0.056 	-0.00300235422007
0.057 	-0.00297069904138
0.058 	-0.00293783636444
0.059 	-0.00290379638557
0.06 	-0.00286860827531
0.061 	-0.00283230022972
0.062 	-0.00279489951828
0.063 	-0.00275643252876
0.064 	-0.0027169248092
